countries,n_edits_million,n_users,bing_n_edits_million,bing_n_edits_proportion,bing_n_users,bing_n_users_proportion,esri_n_edits_million,esri_n_users,maxar_n_edits_million,maxar_n_users,mapbox_n_edits_million,mapbox_n_users,mapillary_n_edits_million,mapillary_n_users
[XT],0.001032,39,9.1e-05,0.08817829457364341,6,0.15384615384615385,1e-05,1,0.000104,5,,,,
[XU],0.004271,107,8.2e-05,0.019199250760945915,5,0.04672897196261682,0.000194,7,0.001165,14,3e-06,1,,
[XW],1.285917,1814,0.024837,0.019314621394693438,144,0.07938257993384785,0.007496,59,0.004054,46,0.000468,20,0.00025,11
[XX],0.000341,21,1.8e-05,0.05278592375366569,2,0.09523809523809523,6e-06,3,1.3e-05,4,,,,
[XY],0.018724,83,0.001109,0.05922879726554155,23,0.27710843373493976,0.001529,18,0.002451,18,0.012223,13,,
[XZ],0.005529,124,0.000104,0.01880991137637909,5,0.04032258064516129,9e-06,2,1.2e-05,2,,,,
[YEM],1.189385,3279,0.337984,0.28416702749740413,270,0.08234217749313816,0.068032,152,0.355318,287,0.008655,37,0.000386,11
[ZAF],9.682635,10287,0.623152,0.06435768775751642,1235,0.12005443763973948,2.435622,1187,1.179717,1023,0.051174,247,0.064951,346
[ZMB],6.69022,17516,0.515562,0.07706203981333946,616,0.035167846540306004,0.282724,339,2.4674,817,0.053695,99,0.001802,43
[ZWE],0.941459,3142,0.170821,0.1814428456257787,374,0.11903246339910885,0.04119,184,0.28948,382,0.005035,39,0.001121,18
